,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,PQ,8,8,,0.8618990578143083,Convnet1M,-0.28536171864085613,True,,-0.18984013904396502
1,PQ,8,8,,0.8823449881073188,Convnet1M,-0.28039136487997496,True,,-0.2038804174240851
2,PQ,8,8,,0.8898264038448378,Convnet1M,-0.16341489928001685,True,,-0.16122473616357505
3,PQ,8,8,,0.8762339445666099,Convnet1M,-0.1598675174607771,True,,-0.19008212056131485
4,PQ,8,8,,0.8947258045570339,Convnet1M,-0.2046548755040578,True,,-0.19190838273716898
5,PQ,8,8,,0.8841061427127517,Convnet1M,-0.20922654087338466,True,,0.003095899742692974
6,PQ,8,8,,0.8620422538680318,Convnet1M,-0.26709945795344514,True,,-0.18459261259042006
7,PQ,8,8,,0.8914426403529612,Convnet1M,-0.07343217900292665,True,,-0.16860817745061332
8,PQ,8,8,,0.8849696699852062,Convnet1M,-0.14694083029148852,True,,-0.22565588343363124
9,PQ,8,8,,0.8980374772788217,Convnet1M,-0.331850589199425,True,,-0.1896247645326192
10,PQ,8,8,,0.8770205548395842,Convnet1M,-0.1499081360403649,True,,0.022367393531432078
11,PQ,8,8,,0.8580182372073856,Convnet1M,-0.19940541171138104,True,,-0.16015139254704475
12,PQ,8,8,,0.8730373526343209,Convnet1M,-0.24042690407224931,True,,-0.16901548537469344
13,PQ,8,8,,0.8345904952199449,Convnet1M,-0.020241080600465367,True,,-0.2021416242953812
14,PQ,8,8,,0.8486640898060548,Convnet1M,-0.08433617588194231,True,,-0.2750872350840394
15,PQ,8,8,,0.8336809968806744,Convnet1M,-0.3702533484890653,True,,-0.11065032515256101
16,PQ,8,8,,0.8542832672422949,Convnet1M,-0.31069703941537696,True,,-0.05726099433861716
17,PQ,8,8,,0.8441646371980156,Convnet1M,-0.2386357342977916,True,,-0.10495669551660126
18,PQ,8,8,,0.8986141690386861,Convnet1M,-0.2375490004873636,True,,-0.13700814276983747
19,PQ,8,8,,0.8187240274177228,Convnet1M,-0.15025651578940102,True,,-0.27024801022264305
20,PQ,8,8,,0.8941388349521947,Convnet1M,-0.004524386317252604,True,,-0.07932370992464911
21,PQ,8,8,,0.884446571100483,Convnet1M,-0.17303627840604863,True,,-0.14296654881656046
22,PQ,8,8,,0.8989345568438317,Convnet1M,-0.1661331581180061,True,,-0.1665516056573293
23,PQ,8,8,,0.855224170807244,Convnet1M,-0.4687456568913876,True,,-0.17413139685652415
24,PQ,8,8,,0.9030535166395958,Convnet1M,-0.187772017986358,True,,-0.10275254361306072
25,PQ,8,8,,0.8746493561384038,Convnet1M,-0.24071621293845302,True,,-0.09284264564908955
26,PQ,8,8,,0.8888122403837095,Convnet1M,-0.07730819112059106,True,,-0.15829071064861114
27,PQ,8,8,,0.8920206936495337,Convnet1M,-0.11565205810516233,True,,-0.11202075925137626
28,PQ,8,8,,0.8829412682707468,Convnet1M,-0.3249861536708172,True,,-0.23016150701778834
29,PQ,8,8,,0.8451398888176663,Convnet1M,-0.364397614121156,True,,-0.23361346877133396
30,PQ,8,8,,0.8924398734657393,Convnet1M,-0.17040725472777662,True,,-0.12161073378911279
31,PQ,8,8,,0.8818389191502924,Convnet1M,-0.38796159007726994,True,,-0.2638727968908567
32,PQ,8,8,,0.8779042794897504,Convnet1M,-0.16069493440398208,True,,-0.13591782966200538
33,PQ,8,8,,0.8863219782630304,Convnet1M,-0.2621473782209929,True,,-0.16017080279409415
34,PQ,8,8,,0.9046022856953756,Convnet1M,-0.29755285355737127,True,,-0.1948010267959671
35,PQ,8,8,,0.8562970674035595,Convnet1M,-0.21340910326251805,True,,-0.04845138673825002
36,PQ,8,8,,0.8995248424631659,Convnet1M,-0.2099187806204328,True,,-0.06116780976020817
37,PQ,8,8,,0.8671544353485805,Convnet1M,-0.23638610678759164,True,,-0.22161628645058812
38,PQ,8,8,,0.8848255520609578,Convnet1M,-0.22021688816126472,True,,-0.07704331588995668
39,PQ,8,8,,0.8598168291646121,Convnet1M,-0.2698677094500046,True,,-0.058396527386882585
40,PQ,8,8,,0.8633488359818534,Convnet1M,-0.10048661295174899,True,,-0.24531620459754422
41,PQ,8,8,,0.8640578281359712,Convnet1M,-0.29239347134661386,True,,-0.1687693844508286
42,PQ,8,8,,0.8709362236190739,Convnet1M,-0.09050646938076612,True,,-0.051143745222782575
43,PQ,8,8,,0.8726363889587487,Convnet1M,-0.3265031589879639,True,,-0.14925104228097988
44,PQ,8,8,,0.9105297852168771,Convnet1M,-0.24789136775217946,True,,-0.13925871475057391
45,PQ,8,8,,0.8566763605160511,Convnet1M,-0.31603196513291065,True,,-0.24607176040242526
46,PQ,8,8,,0.8736435746354381,Convnet1M,-0.07419291201322697,True,,-0.17079780149936272
47,PQ,8,8,,0.8852594982346331,Convnet1M,-0.18356232392821492,True,,-0.29952042488962755
48,PQ,8,8,,0.8947645932675722,Convnet1M,-0.20568571220361287,True,,-0.05551874527726396
49,PQ,8,8,,0.904072920863727,Convnet1M,-0.2525651024489637,True,,-0.13776243764072824
50,PQ,8,8,,0.9156983755923499,Convnet1M,-0.19489656143163114,True,,-0.10726154314169359
51,PQ,8,8,,0.895520328096305,Convnet1M,-0.261985123334727,True,,-0.2651816192916218
52,PQ,8,8,,0.8823867314863839,Convnet1M,-0.1594908329146203,True,,-0.2257634366401434
53,PQ,8,8,,0.7914384726340294,Convnet1M,-0.30063285175198917,True,,-0.16375583092974008
54,PQ,8,8,,0.87929959190046,Convnet1M,-0.11183462393475907,True,,-0.24048788661865697
55,PQ,8,8,,0.8735618414734381,Convnet1M,-0.07156681449713664,True,,-0.21477958441814854
56,PQ,8,8,,0.8845381392698881,Convnet1M,-0.1506128097842736,True,,-0.12258808427333526
57,PQ,8,8,,0.8853508110763803,Convnet1M,-0.35223686053519176,True,,-0.10927508701818343
58,PQ,8,8,,0.9202085984119841,Convnet1M,-0.13251577901287703,True,,-0.26613861919627363
59,PQ,8,8,,0.8334101133573324,Convnet1M,-0.1503480940219848,True,,-0.09516021823916188
60,PQ,8,8,,0.8724465987701058,Convnet1M,-0.20413821592284842,True,,-0.05977305216466484
61,PQ,8,8,,0.8529559287996565,Convnet1M,-0.29057928120154664,True,,-0.08269178701973394
62,PQ,8,8,,0.8879704917490288,Convnet1M,-0.25134514210987136,True,,-0.2403074357497487
63,PQ,8,8,,0.8698405168701594,Convnet1M,-0.23106961823045702,True,,-0.026187040336946583
64,PQ,8,8,,0.9068549216188425,Convnet1M,-0.1986636419440435,True,,-0.22776399733610572
65,PQ,8,8,,0.8737430057734049,Convnet1M,-0.16833967070684341,True,,-0.1592223889972171
66,PQ,8,8,,0.8178068627975337,Convnet1M,-0.17152245969938584,True,,-0.15807372042776444
67,PQ,8,8,,0.8899280519470192,Convnet1M,-0.1112055552238691,True,,-0.165073515992947
68,PQ,8,8,,0.8145730652424497,Convnet1M,-0.2368779374153296,True,,-0.280083330271568
69,PQ,8,8,,0.866972305263419,Convnet1M,-0.21273055903805593,True,,-0.1610834983590915
70,PQ,8,8,,0.8808831217313343,Convnet1M,-0.17106853193973848,True,,-0.1848677454621943
71,PQ,8,8,,0.8885307059536982,Convnet1M,-0.14074577141647504,True,,-0.1572468167689253
72,PQ,8,8,,0.836033637856145,Convnet1M,-0.16999334925315757,True,,-0.11590723766796522
73,PQ,8,8,,0.8451300066475569,Convnet1M,-0.1693667886504373,True,,0.056633446155653966
74,PQ,8,8,,0.8718867282088005,Convnet1M,-0.21304070721053114,True,,-0.20794056983062137
75,PQ,8,8,,0.8479700681353752,Convnet1M,-0.31074965544566613,True,,-0.12010216046769528
76,PQ,8,8,,0.8712430655160703,Convnet1M,-0.2126043869342107,True,,-0.15879807517328584
77,PQ,8,8,,0.8799267278536876,Convnet1M,-0.3341704453353129,True,,-0.11832032542357701
78,PQ,8,8,,0.8734974636620427,Convnet1M,-0.22632334367292728,True,,-0.1656216331494041
79,PQ,8,8,,0.877701035772323,Convnet1M,-0.21330526203376943,True,,-0.07074146114273976
80,PQ,8,8,,0.8938078406952586,Convnet1M,-0.11595742846082846,True,,-0.10242396516091214
81,PQ,8,8,,0.8935798621233421,Convnet1M,-0.06380535530789233,True,,-0.23947677550026522
82,PQ,8,8,,0.8693729127165387,Convnet1M,-0.11860112852830573,True,,-0.17029282369486698
83,PQ,8,8,,0.8961642765329016,Convnet1M,-0.01600101223032646,True,,-0.12134130340978168
84,PQ,8,8,,0.8746110666995539,Convnet1M,-0.15280802638468804,True,,-0.09462975884113074
85,PQ,8,8,,0.8293834464987054,Convnet1M,-0.21977093969866757,True,,-0.009578776237546474
86,PQ,8,8,,0.8457518290612254,Convnet1M,-0.16267947282140982,True,,-0.09534619095547842
