,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,Bolt,4,16,True,0.9260651279477103,Mnist,-8728878.0,True,0.0,-0.9999117406984966
1,Bolt,4,16,True,0.8952157084961689,Mnist,-4881740.0,True,0.0,-0.9998818226129004
2,Bolt,4,16,True,0.945688752045834,Mnist,-8483507.0,True,0.0,-0.9998986909188992
3,Bolt,4,16,True,0.8563901438264636,Mnist,-7190750.0,True,0.0,-0.9998912343964879
4,Bolt,4,16,True,0.8669859423400356,Mnist,-9346531.0,True,0.0,-0.9998917206099424
5,Bolt,4,16,True,0.9491356417653782,Mnist,-6177242.0,True,0.0,-0.9998890445743711
6,Bolt,4,16,True,0.9196865525699995,Mnist,-8069978.0,True,0.0,-0.9998992517495866
7,Bolt,4,16,True,0.9073371388845863,Mnist,-8720520.0,True,0.0,-0.9998792149096606
8,Bolt,4,16,True,0.8288847320541382,Mnist,-6916363.0,True,0.0,-0.99990018936799
9,Bolt,4,16,True,0.9238491478600313,Mnist,-6242588.0,True,0.0,-0.9998944063678403
10,Bolt,4,16,True,0.8581582053856294,Mnist,-10061084.0,True,0.0,-0.9998971024487427
11,Bolt,4,16,True,0.7508860867986226,Mnist,-6964982.0,True,0.0,-0.9998892277580894
12,Bolt,4,16,True,0.9247404432954605,Mnist,-6235372.0,True,0.0,-0.9998780141059228
13,Bolt,4,16,True,0.8060616137429069,Mnist,-4300394.0,True,0.0,-0.999896769210771
14,Bolt,4,16,True,0.9494285056430822,Mnist,-8342992.0,True,0.0,-0.9998979297824097
15,Bolt,4,16,True,0.8805515410888034,Mnist,-5561681.0,True,0.0,-0.9999104237594837
16,Bolt,4,16,True,0.8901182372789963,Mnist,-5338939.0,True,0.0,-0.9998975726824665
17,Bolt,4,16,True,0.9014412568579413,Mnist,-4602113.0,True,0.0,-0.9998978093532066
18,Bolt,4,16,True,0.8945314181993154,Mnist,-3663164.0,True,0.0,-0.9998933561531297
19,Bolt,4,16,True,0.9102944045989805,Mnist,-5219302.0,True,0.0,-0.9998908579753776
20,Bolt,4,16,True,0.940193895970447,Mnist,-7582280.0,True,0.0,-0.9998855976762175
21,Bolt,4,16,True,0.8801348962189138,Mnist,-7266854.0,True,0.0,-0.9998902993779589
22,Bolt,4,16,True,0.8739295221856511,Mnist,-4005603.0,True,0.0,-0.9998916107559976
23,Bolt,4,16,True,0.9031150353506633,Mnist,-9585505.0,True,0.0,-0.9998857266484559
24,Bolt,4,16,True,0.9149353970016382,Mnist,-5043985.0,True,0.0,-0.9998920539119964
25,Bolt,4,16,True,0.9370247412564775,Mnist,-6382581.0,True,0.0,-0.9998792731340536
26,Bolt,4,16,True,0.9131864725315817,Mnist,-7614168.0,True,0.0,-0.9998925917392527
27,Bolt,4,16,True,0.8868786878244865,Mnist,-6749183.0,True,0.0,-0.999882550094135
28,Bolt,4,16,True,0.8390189372486119,Mnist,-4593064.0,True,0.0,-0.9998962014105197
29,Bolt,4,16,True,0.942657436534941,Mnist,-4747498.0,True,0.0,-0.9999054240850465
