,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,PQ,8,8,,0.9559461272757288,Mnist,-485784.61424736306,True,,-0.03462503396350234
1,PQ,8,8,,0.9400186967794955,Mnist,-1147913.7641695421,True,,-0.15395198086044057
2,PQ,8,8,,0.9686884411395588,Mnist,-489489.8569126278,True,,-0.03601060224131825
3,PQ,8,8,,0.9333499467600026,Mnist,-891364.0835788697,True,,-0.13450321664397205
4,PQ,8,8,,0.9305519379968032,Mnist,-999257.6613859273,True,,-0.06455787579475936
5,PQ,8,8,,0.9710666819759235,Mnist,-995482.8349380633,True,,-0.12612138631391978
6,PQ,8,8,,0.9496540361376834,Mnist,-992502.8034522692,True,,-0.033981664918113545
7,PQ,8,8,,0.948890826114088,Mnist,-172071.83055403363,True,,-0.25175067467540996
8,PQ,8,8,,0.9011169154033382,Mnist,-928489.2907379083,True,,-0.14973772125685922
9,PQ,8,8,,0.9568330928082106,Mnist,-811650.5184028456,True,,-0.1508331451070091
10,PQ,8,8,,0.9269158588361114,Mnist,-616215.1755971834,True,,-0.1306626782106066
11,PQ,8,8,,0.8717237640546017,Mnist,-1378369.4455486257,True,,-0.09551081037387164
12,PQ,8,8,,0.9562074812660342,Mnist,-242376.38636458106,True,,-0.06435864503997973
13,PQ,8,8,,0.905957062973035,Mnist,-1176877.766139607,True,,-0.12413591852839337
14,PQ,8,8,,0.9681320167623838,Mnist,-1642308.8747541402,True,,-0.09499050519827128
15,PQ,8,8,,0.927070299418372,Mnist,-193662.49737969274,True,,-0.022640841417076514
16,PQ,8,8,,0.9391449715500325,Mnist,-1239686.1180744078,True,,-0.046389777488510205
17,PQ,8,8,,0.9428989227417996,Mnist,-827803.8024877133,True,,-0.002892301786804852
18,PQ,8,8,,0.9292114817931727,Mnist,-1423250.079572739,True,,-0.1400964014393639
19,PQ,8,8,,0.9508399084627084,Mnist,-277048.59240691364,True,,0.04389866789060582
20,PQ,8,8,,0.9643504994359801,Mnist,-1023744.9785374515,True,,-0.14833814597716574
21,PQ,8,8,,0.9336765812909118,Mnist,-938273.6702779476,True,,-0.11366853995506697
22,PQ,8,8,,0.9292277451269956,Mnist,-1078456.6720225736,True,,-0.04718643368458529
23,PQ,8,8,,0.9415958676941275,Mnist,-644777.6112259906,True,,-0.10483647093938946
24,PQ,8,8,,0.9535280603918039,Mnist,-1351948.8804268977,True,,-0.09509459241395052
25,PQ,8,8,,0.9654702311278042,Mnist,-172273.5340708131,True,,-0.08095636777468553
26,PQ,8,8,,0.9503716078184442,Mnist,-564975.3979898319,True,,-0.20055933171389906
27,PQ,8,8,,0.9380106631912095,Mnist,-738038.1052555125,True,,-0.2047947506928479
