,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,PQ,8,8,,0.8618990578143083,Convnet1M,-0.22592827413193373,True,,-0.09711450653140748
1,PQ,8,8,,0.8823449881073188,Convnet1M,-0.10376931268900114,True,,-0.20279357180844956
2,PQ,8,8,,0.8898264038448378,Convnet1M,-0.11153497670090662,True,,-0.13552695125167513
3,PQ,8,8,,0.8762339445666099,Convnet1M,-0.23638990953977812,True,,-0.152054171819686
4,PQ,8,8,,0.8947258045570339,Convnet1M,-0.24076756914227282,True,,-0.14028312250326785
5,PQ,8,8,,0.8841061427127517,Convnet1M,-0.28515120098056457,True,,-0.26151283434293005
6,PQ,8,8,,0.8620422538680318,Convnet1M,-0.2467805249313737,True,,-0.23277323303070185
7,PQ,8,8,,0.8914426403529612,Convnet1M,-0.06713490291416213,True,,-0.15184186421737836
8,PQ,8,8,,0.8849696699852062,Convnet1M,-0.14559137058759664,True,,-0.18569598579332117
9,PQ,8,8,,0.8980374772788217,Convnet1M,-0.2819352198088476,True,,-0.09583170770464826
10,PQ,8,8,,0.8770205548395842,Convnet1M,-0.06671316265730987,True,,-0.17241065840942485
11,PQ,8,8,,0.8580182372073856,Convnet1M,-0.24974796016787693,True,,-0.2267783684808635
12,PQ,8,8,,0.8730373526343209,Convnet1M,-0.2503296717595169,True,,-0.17768794876948066
13,PQ,8,8,,0.8345904952199449,Convnet1M,-0.17883495874283373,True,,-0.15527148671914176
14,PQ,8,8,,0.8486640898060548,Convnet1M,-0.19147238487024065,True,,-0.1508960749399696
15,PQ,8,8,,0.8336809968806744,Convnet1M,-0.237616035233029,True,,-0.16097765449997203
16,PQ,8,8,,0.8542832672422949,Convnet1M,-0.04435525853902922,True,,-0.15372609978394464
17,PQ,8,8,,0.8441646371980156,Convnet1M,-0.19954657130634268,True,,-0.2439286464903342
18,PQ,8,8,,0.8986141690386861,Convnet1M,-0.20884250824796702,True,,-0.20109195222851425
19,PQ,8,8,,0.8187240274177228,Convnet1M,-0.1612099976155883,True,,-0.1283557722363261
20,PQ,8,8,,0.8941388349521947,Convnet1M,-0.3359470126538393,True,,-0.05240228288043076
21,PQ,8,8,,0.884446571100483,Convnet1M,-0.2787226364873212,True,,-0.23823916202329923
22,PQ,8,8,,0.8989345568438317,Convnet1M,-0.15696870460280388,True,,-0.26668940763245097
23,PQ,8,8,,0.855224170807244,Convnet1M,-0.22784218258839828,True,,-0.22295577870723196
24,PQ,8,8,,0.9030535166395958,Convnet1M,-0.13896401103290623,True,,-0.11474423776625996
25,PQ,8,8,,0.8746493561384038,Convnet1M,-0.17560384314940802,True,,-0.17225489264076735
26,PQ,8,8,,0.8888122403837095,Convnet1M,-0.16933895510758745,True,,-0.09140399631927341
27,PQ,8,8,,0.8920206936495337,Convnet1M,-0.223415042252598,True,,-0.20579965464694255
28,PQ,8,8,,0.8829412682707468,Convnet1M,-0.24526622086800032,True,,-0.1441434828746836
29,PQ,8,8,,0.8451398888176663,Convnet1M,-0.37413574336161304,True,,-0.26130354355297614
30,PQ,8,8,,0.8924398734657393,Convnet1M,-0.3683204924357619,True,,-0.08268934759260838
31,PQ,8,8,,0.8818389191502924,Convnet1M,-0.24604294233022794,True,,-0.1192749512407486
32,PQ,8,8,,0.8779042794897504,Convnet1M,-0.20107454567781424,True,,-0.03782731580104961
33,PQ,8,8,,0.8863219782630304,Convnet1M,-0.17091027803472247,True,,-0.1756083694726349
34,PQ,8,8,,0.9046022856953756,Convnet1M,-0.2235218873221374,True,,-0.12633359459259727
35,PQ,8,8,,0.8562970674035595,Convnet1M,-0.11766954352632375,True,,-0.15933977304385696
36,PQ,8,8,,0.8995248424631659,Convnet1M,-0.07010416191110957,True,,-0.22712619506137766
37,PQ,8,8,,0.8671544353485805,Convnet1M,-0.2595111794598055,True,,-0.2338394032715048
38,PQ,8,8,,0.8848255520609578,Convnet1M,-0.13915717079550294,True,,-0.3319885407371104
39,PQ,8,8,,0.8598168291646121,Convnet1M,-0.13786492885600032,True,,-0.21820999670147562
40,PQ,8,8,,0.8633488359818534,Convnet1M,-0.16472934623507873,True,,-0.157698455902807
41,PQ,8,8,,0.8640578281359712,Convnet1M,-0.25922295941959916,True,,-0.09808087835523321
42,PQ,8,8,,0.8709362236190739,Convnet1M,-0.18631137738979353,True,,-0.2610905458295736
43,PQ,8,8,,0.8726363889587487,Convnet1M,-0.1991868536298571,True,,-0.02385686590138459
44,PQ,8,8,,0.9105297852168771,Convnet1M,-0.2655827316781316,True,,-0.14818930324309978
45,PQ,8,8,,0.8566763605160511,Convnet1M,-0.23038088713288207,True,,-0.1980662630010849
46,PQ,8,8,,0.8736435746354381,Convnet1M,-0.13330825264310797,True,,-0.2506313043869349
47,PQ,8,8,,0.8852594982346331,Convnet1M,-0.28048426533930915,True,,-0.11515822824384409
48,PQ,8,8,,0.8947645932675722,Convnet1M,-0.10962320725632124,True,,-0.13874342457461708
49,PQ,8,8,,0.904072920863727,Convnet1M,-0.2526238273272412,True,,-0.26034975727942566
