,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,PQ,8,8,,0.9559461272757288,Mnist,-1031710.73628488,True,,-0.23611703640317916
1,PQ,8,8,,0.9400186967794955,Mnist,-1170162.1177849788,True,,-0.03783000318303401
2,PQ,8,8,,0.9686884411395588,Mnist,-1324000.0790090263,True,,-0.1619548431114236
3,PQ,8,8,,0.9333499467600026,Mnist,-816650.3960850975,True,,0.02258616397873961
4,PQ,8,8,,0.9305519379968032,Mnist,-388431.3271137569,True,,-0.1658543369330287
5,PQ,8,8,,0.9710666819759235,Mnist,-81780.60424423218,True,,-0.08052987639975583
6,PQ,8,8,,0.9496540361376834,Mnist,-1817991.6158248726,True,,-0.009055448923602554
7,PQ,8,8,,0.948890826114088,Mnist,-524211.15562938806,True,,-0.12051656693606547
8,PQ,8,8,,0.9011169154033382,Mnist,-2645091.611905043,True,,-0.10658207699859278
9,PQ,8,8,,0.9568330928082106,Mnist,-1053933.561261532,True,,-0.16892732705843908
10,PQ,8,8,,0.9269158588361114,Mnist,-391437.87969149277,True,,-0.14172811811254232
11,PQ,8,8,,0.8717237640546017,Mnist,-708903.8420706913,True,,-0.10561775005480674
12,PQ,8,8,,0.9562074812660342,Mnist,-1065941.8845120873,True,,-0.001110896733135517
13,PQ,8,8,,0.905957062973035,Mnist,-98268.26627231203,True,,-0.055749444844709554
14,PQ,8,8,,0.9681320167623838,Mnist,-757561.1928388905,True,,-0.09345880356052744
15,PQ,8,8,,0.927070299418372,Mnist,-1616335.1804806115,True,,-0.23439983626799984
16,PQ,8,8,,0.9391449715500325,Mnist,-759144.6040947526,True,,-0.05857691136231038
17,PQ,8,8,,0.9428989227417996,Mnist,-534035.646549671,True,,-0.11021327705258024
18,PQ,8,8,,0.9292114817931727,Mnist,-538263.6272745784,True,,-0.1427202739328912
19,PQ,8,8,,0.9508399084627084,Mnist,-411115.8692311179,True,,-0.19091717901447325
20,PQ,8,8,,0.9643504994359801,Mnist,-1547797.6856172476,True,,-0.10027158809886294
21,PQ,8,8,,0.9336765812909118,Mnist,-458900.930911568,True,,-0.11096492408016136
22,PQ,8,8,,0.9292277451269956,Mnist,-1189201.8057911545,True,,-0.07497016062191858
23,PQ,8,8,,0.9415958676941275,Mnist,-185958.07156713307,True,,-0.0944149989713127
24,PQ,8,8,,0.9535280603918039,Mnist,-216803.56053660437,True,,-0.10102262444892735
25,PQ,8,8,,0.9654702311278042,Mnist,-479889.7021786077,True,,-0.20817827683366952
26,PQ,8,8,,0.9503716078184442,Mnist,-1613789.129985351,True,,-0.0783993435199734
27,PQ,8,8,,0.9380106631912095,Mnist,-483518.72422562167,True,,-0.0793431211677926
28,PQ,8,8,,0.920456787894037,Mnist,-1134672.8034194475,True,,-0.18503887586729117
29,PQ,8,8,,0.9644466681728437,Mnist,-639941.895891184,True,,-0.1246376476995383
30,PQ,8,8,,0.951823336541456,Mnist,-888286.0316723883,True,,-0.04549014683982238
31,PQ,8,8,,0.9641066098771691,Mnist,-1598312.639599787,True,,-0.006471812892449201
32,PQ,8,8,,0.9533464027229702,Mnist,-1012747.7563949982,True,,-0.11458879592369901
33,PQ,8,8,,0.9139741182248322,Mnist,-816238.0216922909,True,,-0.041134191552646304
34,PQ,8,8,,0.9544436227081238,Mnist,-403762.4824488424,True,,-0.003814654514947596
35,PQ,8,8,,0.8935497203310981,Mnist,-79805.1038889233,True,,-0.1569334538620663
36,PQ,8,8,,0.9430049490935155,Mnist,228281.28962099366,True,,0.007713577979180204
37,PQ,8,8,,0.9672894864138926,Mnist,-982124.4734137766,True,,-0.06453505614359174
38,PQ,8,8,,0.9387268126374548,Mnist,-669541.0451964438,True,,-0.19143784072339567
39,PQ,8,8,,0.9696861925346654,Mnist,-1753684.7605996123,True,,-0.1485054118594563
40,PQ,8,8,,0.9665705888613284,Mnist,-123893.09527584398,True,,-0.07736206918679737
41,PQ,8,8,,0.9563813608919121,Mnist,-2555135.1365933027,True,,-0.16480910733667067
42,PQ,8,8,,0.9600802987247363,Mnist,-474095.4355117716,True,,-0.2360142603328095
43,PQ,8,8,,0.9523086219606105,Mnist,-963082.0622297674,True,,-0.12926305883787093
44,PQ,8,8,,0.9547098098842819,Mnist,-172233.90020967927,True,,-0.07693410816322759
45,PQ,8,8,,0.9339717786629473,Mnist,-1057099.7882014867,True,,-0.08336971086176985
46,PQ,8,8,,0.9541241754594957,Mnist,-657361.4691065513,True,,-0.20008338669122464
47,PQ,8,8,,0.9535012375600814,Mnist,-791341.0872619869,True,,-0.11445966048619606
48,PQ,8,8,,0.9537735693268214,Mnist,-761962.1303606015,True,,-0.13038653289316451
49,PQ,8,8,,0.9347837017351374,Mnist,-74680.5925965868,True,,-0.007596208201906646
50,PQ,8,8,,0.9387758119829345,Mnist,23182.726602646522,True,,-0.052889476141662735
51,PQ,8,8,,0.9187697823813469,Mnist,-872306.2487934195,True,,-0.046720507116680764
52,PQ,8,8,,0.9318767384439829,Mnist,-451203.6907257186,True,,-0.005719018592860971
53,PQ,8,8,,0.9374672566051359,Mnist,-808387.2837093007,True,,-0.08764856909629642
54,PQ,8,8,,0.9016473893246991,Mnist,-765550.1340852082,True,,-0.21474978330839556
55,PQ,8,8,,0.9084212723967179,Mnist,-842268.2441751305,True,,-0.14558646188439422
56,PQ,8,8,,0.93505285260327,Mnist,-1281954.6855355687,True,,-0.21089506090020854
57,PQ,8,8,,0.9687065960891595,Mnist,-1641258.5134036997,True,,-0.03458906954798399
58,PQ,8,8,,0.9419776669925414,Mnist,-441121.05925645167,True,,-0.07451104623077438
59,PQ,8,8,,0.9617338880839353,Mnist,-600387.4146841746,True,,-0.1644636250659217
60,PQ,8,8,,0.9375778696530139,Mnist,-1413828.223498174,True,,-0.19588519266144205
61,PQ,8,8,,0.9262952516311447,Mnist,-664008.5236727241,True,,-0.04564628399266125
62,PQ,8,8,,0.9551103339515822,Mnist,-132096.87951638177,True,,-0.15894906944922219
63,PQ,8,8,,0.9467722692509434,Mnist,-750098.883875439,True,,-0.16691766652304976
64,PQ,8,8,,0.9398264246991666,Mnist,-652013.0736687221,True,,-0.14233603950725715
65,PQ,8,8,,0.9618835142380044,Mnist,-371978.6151901474,True,,-0.06115406463152136
66,PQ,8,8,,0.9034013504079229,Mnist,-743462.4711368317,True,,-0.06697679027038428
67,PQ,8,8,,0.940221034773202,Mnist,-739678.8866708884,True,,-0.13090805534738292
68,PQ,8,8,,0.9577129400503427,Mnist,-309286.29094930645,True,,-0.22975541829728052
69,PQ,8,8,,0.886223443349611,Mnist,-563814.4668160453,True,,-0.11464276076923886
70,PQ,8,8,,0.944317388351877,Mnist,-348224.3061553817,True,,-0.01181867379978023
71,PQ,8,8,,0.9600545764801643,Mnist,126021.37960396707,True,,-0.15995564593460299
72,PQ,8,8,,0.8962590271098868,Mnist,-1997544.7006303035,True,,-0.10335028772628971
73,PQ,8,8,,0.9593706632214255,Mnist,-124247.96797691658,True,,-0.12864619899338883
74,PQ,8,8,,0.9684633336858088,Mnist,-291026.7248583501,True,,-0.09913690447022436
