,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,PQ,8,8,,0.9775085822533847,Sift1M,-14480.385268270678,True,,-0.06728291552996622
1,PQ,8,8,,0.9798857273205287,Sift1M,-37956.12089389365,True,,-0.07918600536534766
2,PQ,8,8,,0.9847742643736151,Sift1M,-14046.1675670892,True,,-0.13249854833334054
3,PQ,8,8,,0.9847704203235934,Sift1M,-20223.454984249314,True,,-0.14042972147941998
4,PQ,8,8,,0.9825166430462997,Sift1M,4639.540508366452,True,,-0.16604702721562495
5,PQ,8,8,,0.9715501241871145,Sift1M,-9238.755755685735,True,,-0.0083513971548342
6,PQ,8,8,,0.9831018609790693,Sift1M,-732.7364064633148,True,,-0.028620335363407915
7,PQ,8,8,,0.9796344172440334,Sift1M,-80395.56404569873,True,,-0.032115308136152654
8,PQ,8,8,,0.9820676723928167,Sift1M,-15119.619621692866,True,,-0.36624358077692465
9,PQ,8,8,,0.9847011183526543,Sift1M,-54295.707911783364,True,,-0.023329308603980036
10,PQ,8,8,,0.9790387980432581,Sift1M,-12879.549382372614,True,,-0.1538497267942643
11,PQ,8,8,,0.9875817471235837,Sift1M,-22005.890335973178,True,,-0.0704672664791776
12,PQ,8,8,,0.9853583895610264,Sift1M,-9596.969624438847,True,,0.04638659674213139
13,PQ,8,8,,0.9826379933485989,Sift1M,-17041.245714223594,True,,-0.12149900571674481
14,PQ,8,8,,0.9706360208040447,Sift1M,-14064.379202063603,True,,-0.06175340339606024
15,PQ,8,8,,0.9812497130373874,Sift1M,-11646.091695682611,True,,-0.08212914700803274
16,PQ,8,8,,0.984119023484211,Sift1M,-18446.62305885683,True,,-0.0603669154068036
17,PQ,8,8,,0.9858827902479097,Sift1M,-24543.101444838045,True,,-0.13677205075669677
18,PQ,8,8,,0.9775633565938533,Sift1M,20315.860578782973,True,,-0.08640034982910551
19,PQ,8,8,,0.9865544143121509,Sift1M,-54754.04297833075,True,,-0.10233356765088376
20,PQ,8,8,,0.9820199074604871,Sift1M,-10926.599179277662,True,,-0.09892545341406637
21,PQ,8,8,,0.987995089367725,Sift1M,-23911.069826283026,True,,0.022236119516834914
22,PQ,8,8,,0.987793553467335,Sift1M,-18093.78714547219,True,,-0.022643540890615682
